language,language_code,family,branch,man,woman
Chinese,zh,Sino-Tibetan,Sinitic,男,女
Spanish,es,Indo-European,Romance,hombre,mujer 
English,en,Indo-European,Germanic,male,female 
Hindi,hi,Indo-European,Indo-Aryan,पुरुष,महिला 
Portuguese,pt,Indo-European,Romance,masculino,feminino 
Russian,ru,Indo-European,Balto-Slavic,мужчина,женщина 
Japanese,ja,Japonic,Japanese,男性,女性
Turkish,tr,Turkic,Oghuz,erkek,kadın 
Korean,ko,Koreanic,Koreanic,남성,여성 
French,fr,Indo-European,Romance,mâle,femelle 
German,de,Indo-European,Germanic,männlich,weiblich 
Italian,it,Indo-European,Romance,maschio,femmina 
Polish,pl,Indo-European,Balto-Slavic,mężczyzna,kobieta 
Dutch,nl,Indo-European,Germanic,mannelijk,vrouwlijk 
Greek,el,Indo-European,Hellenic,αρσενικός,θηλυκός 
Finnish,fi,Uralic,Finnic,uros,nainen 
Arabic,ar,Afroasiatic,Semitic,الذكر,أنثى 
Swedish,sv,Indo-European,Germanic,manlig,kvinnlig 
Yoruba,yo,Niger-Congo,Volta-Niger,akọ,abo 
Hungarian,hu,Uralic,Ugric,férfi,nő 
Telugu,te,Dravidian,South-Central,పురుషుడు,స్త్రీ 
Burmese,my,Sino-Tibetan,Lolo-Burmese,အထီး,အမျိုးသမီး 
Thai,th,Kra-Dai,Tai,ชาย,หญิง 
Khmer,km,Austroasiatic,Khmer,បុរស,ស្រី 
Javanese,jv,Austronesian,Malayo-Polynesian,lanang,wadon 
Basque,eu,Isolate,Basque,gizonezkoa,emakumezkoak 
